,spotify_id,title,artist,feat_artists,spotify_url,popularity,lyrics,duration_ms,song_art_image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spechiness,artist_id
0,3mRlFZHUyvJbPTlkzg4LyJ,Roses,SAINt JHN,[],https://open.spotify.com/track/3mRlFZHUyvJbPTlkzg4LyJ,66,"Roses
I walked in the corner with the body screaming dolo
Never sold a bag but look like Pablo in a photo
This gon' make 'em feel the way like Tony killed Manolo
You already know though, you already know though
I walk in the corner with the money, on my finger
She might get it popping, I might wife her for the winter
I already know, already know, nigga roses
All I need is roses

Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through it all
Fuck with a nigga raw, this who you wanna be
And I know you won't tell nobody nothing
And I know you won't tell nobody no

Roses
I might pull up flexing on these niggas like aerobics
I might tell her girl you cute but balling
That shit gorgeous
Standing on the table, Rosé, Rosé, fuck the waters
You know who the god is
Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through it all
Fuck with a nigga raw

I might bring them Brooklyn niggas out, oh lord it's overs
I might bring them strippers out and tell 'em do it pole-less
You already know, already know, nigga roses
Kill 'em, make it ...

Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through it all
Fuck with a nigga raw, this who you wanna be
And I know you won't tell nobody nothing
And I know you won't tell nobody no

Roses
RosesEmbedShare Url:CopyEmbed:Copy",173610,https://images.genius.com/1edc1620b1ecb3c7133bf773ac824af8.1000x1000x1.jpg,0.782,0.5,5,-6.473,0,,0.342,1.88e-05,0.133,0.28,102.008,0.0611,0H39MdGGX6dbnnQPt6NQkZ
1,2wB0rnmsJOv1eqrRjQB5yZ,My Affection ,Summer Walker,[],https://open.spotify.com/track/2wB0rnmsJOv1eqrRjQB5yZ,33,"Seen my teens flew by in a coach seat
Since we all grown up, you tryna show me
What you tryna do now, huh
You played me once before, now you feel like you want me
Back when I took off, I'm a trophy
Back when I wasn't nothin', you was a trophy
Oh (No, no, no, no), yeah, yeah, yeah
Oh (No, no, no, no), yeah, yeah, yeah

Get it through your mind
Asked for all this time
Asked for all my time
I just think you fine, no, no, no
I'd like to tell you off (Oh)
'Cause I know you know, hmm
Days gettin' longer, and drugs been gettin' hard to find
You can steal with these eyes
I won't change my mind, no

Just because I'm all grown up (Oh)
I already chose up (Oh)
I was straight up tryna fuck (Yeah)
Now I'm leavin', tour's up
But I can't change my affection
And I can't change my attention (Oh, woah)
I don't think you know (I don't think you know)
I still want my goal (I still want my goal)
I still want my goal back (Shh, shh, shh)
Come on, baby, throw that (Shh, shh)
I'm still checkin' for my throwback
Since my teens go by in a coach seat
And since we all grown up, you tryna show me
What you was tryna do now (Yeah)
You played me once before, now you feel like you want me
Back when I took off, I'm a trophy
Back when I wasn't nothin', you was a trophy
No (No, no, no, no), yeah, yeah, yeah
No (Woah, no, no, no, no), yeah, yeah, yeah
Hey, hey, hey, yeah, yeah, yeah-yeah

You used to want that nigga shootin' baskets in the posts, yeah
Now you want a nigga with three m's so he reposts ya
WiFi on your phone make the long distance seem closer
(Oh, yeah)
Used to sit up in your bed thinkin' that I forgot ya
You still got it in your head that I'm super caught up, I'm not
(Ha, yeah, yeah)
When the Patrón on, I start to forget, yeah, yeah
You let everything on your chest get to your head, yeah, yeah
Had a hard time turnin' twenty-five
(You had a hard time keepin' hope alive but)

Just because I'm all glowed up
I already chose up (Oh)
I was straight up tryna fuck
Now I'm leavin', tour's up (Oh)
I can't change my affection (I can't change)
I can't change my attention
I don't think you know (I don't think you know)
I still want my goal (I still want my goal)
I still want my goal back (Goal)
Come on, baby, throw that (Throw that)
I'm still checkin' for my throwback
Since my teens flew by in a coach seat (In the coach seat)
And since we all grown up, you tryna show me (You tryna show)
What you was tryna do now (What you wanna do?)
You played me once before, now you feel like you want me
Back when I used to take off, now I'm a trophy
Back when I wasn't nothin', you was a trophy
No (No, no, no, no), yeah, yeah, yeah (Back when)
No (No, no, no, no), yeah, yeah, yeah, oh, yeah, yeahEmbedShare Url:CopyEmbed:Copy",213933,https://images.genius.com/639577dc3e9b2a46974d481bb351aa83.512x512x1.png,0.616,0.516,7,-7.7029999999999985,1,,0.358,0.0,0.0941,0.237,76.95,0.174,57LYzLEk2LcFghVwuWbcuS
2,76DHyqVuAlzxQJZHFajoBY,Mood Swings,A Boogie Wit da Hoodie,[],https://open.spotify.com/track/76DHyqVuAlzxQJZHFajoBY,27,"Wheezy outta here
Beast, beast

I'm a beast
Oh my God, mood swings
Out of line, mood swings
Out of time
I was broke, I don't cry
I'm the G.O.A.T., I'm a God

I'm a beast, I'm a Goblin, nigga, let that shit fly
Nigga, you don't want no problem
I be feelin' like Batman, my niggas always robbin'
I just got caught fuckin' my best friend, we wylin', yeah
She was my bestie, mm, never knew she was so nasty, mm, yeah
And she so sexy, mm, kissin' on bitches like lesbians, yeah
Ass so fat, oh, bouncin' up and down like a basketball, yeah
Niggas wanna test me, snipe a nigga, treat him like Wesley, yeah

Bitch, I go, big .44, yeah, I know they don't want no smoke
Big face watch, big bank rolls
Big ass bag with the big Lambo'
Bitch, I'm bad, young Mike, I'm a G.O.A.T.
Mike Amiri pants too tight for the pole
Me and my bestie fucked on the low
Can you still trust me? I don't know
No, I don't know, outta' time
I'm so caught out of line
Aderall analyze
Lost my bro, lost my mind
Want my soul, niggas want my life
Tryna' take my hoes, tryna fuck my wife
Mood swings, sometimes I need two at a time
Fuckin' two sets of twins, and one of them shy
Fuck two sets of 10s like a couple of dimes
Fuck two sets of twins like a couple of times
Fuck few sets of twins like a couple of times
Percocets, two times
Percocets, never knew when to come
Percocets, two time
Percocets, never knew when to come
I'm a beast
Oh my God, mood swings
Out of line, mood swings
Out of time
I was broke, I don't cry
I'm a G.O.A.T., I'm a God

I'm a beast, I'm a Goblin, nigga, let that shit fly
Nigga, you don't want no problem
I be feelin' like Batman, my niggas always robbin'
I just got caught fuckin' my best friend, we wylin', yeah
She was my bestie, mm, never know she was so nasty, mm, yeah
And she so sexy, mm, kissin' on bitches like lesbians, yeah
Ass so fat, oh, bouncin' up and down like a basketball, yeah
Niggas wanna test me, snipe a nigga, treat him like Wesley, yeahEmbedShare Url:CopyEmbed:Copy",156960,https://images.genius.com/2c3a6a104f978d8bc92263e3ae7e65db.1000x1000x1.png,0.943,0.67,4,-5.511,0,,0.241,8.51e-06,0.0974,0.893,120.077,0.0986,31W5EY0aAly4Qieq6OFu6I
3,75VJBp3JE7W3oKoFeq1esH,Chicago Freestyle ,Drake,[],https://open.spotify.com/track/75VJBp3JE7W3oKoFeq1esH,47,"Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?

Ayy, truck to the plane to the truck
Truck to the hotel lobby
Me, I go through underground garages
Presidential suite on deposit
Elevator up to the room
Shower up and then we hit the club
Touch down, gotta see what's up
Area code in my phone
What numbers do I still have?
Who do I know from the past?
Hit one, she say she got a man
Hit another one, it goes green
Must've changed phones on the team
'Member when you let me in between
That was 2017
All good, Chubbs will look around
Find one that seem my type
That my dawg and he know what I like
He done found me plenty in my life
Problem is, I meet a girl tonight
Then I go and treat her too nice
Galleria credit card swipes
I don't even know if she a wife
But I do know one thing though
Women, they come they go
Saturday through Sunday, Monday
Monday through Sunday, yo
Maybe I'll love you one day
Maybe we'll someday grow
'Til then, I'll sit my drunk ass on that runway
On this one way

Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?

Jewelry in the safe on arrival
Pistol on J for survival
Lot of people gunnin' for the title
Lot of people tryna take us viral
I'm just tryin' to have a nice night though
Waiter brought the check for the meal
She said, ""Babe, I think there was a typo""
Nah, girl, I got it, that's light though
I could show you bigger things than that
It's gon' be a minute 'til I'm back
Let me give you images that last
AMEX had a limit in the past
I had plenty women in the past
I done plenty sinnin' in the past
You don't need to know, but you can ask
Stickin' on your backstage pass
All access 'cause you bad
You could go wherever with that ass
Show to the shower to the truck
Truck to the club for the party
You go in first with your girls
'Cause I don't know who's out there watchin'
But I do know one thing though
Women, they come they go
Saturday through Sunday, Monday
Monday, Sunday, yo
Maybe I'll love you one day
Maybe we'll someday grow
'Til then, I'll sit my drunk ass on that runway
On this one way

Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?EmbedShare Url:CopyEmbed:Copy",220487,https://images.genius.com/37db50145d22a7fa8fa4908f883ea92a.1000x1000x1.jpg,0.745,0.446,2,-7.518,0,,0.619,0.0,0.113,0.0396,122.982,0.326,3TVXtAsR1Inumwj472S9r4
4,51rPRW8NjxZoWPPjnRGzHw,Tadow,Masego,[],https://open.spotify.com/track/51rPRW8NjxZoWPPjnRGzHw,76,"Yeeah, ooh, yeh
Ayy, ayy, ayy, oh, ahh
Ayy, ayy, ahh, ahh
Tadow
Ayy, ayy, ay, oh, ahh
Ayy, ayy, ahh, ahh
Tadow

Ooh, I saw her and she hit me like (Tadow)
Saw that thing so beautiful (Tadow)
She just hit my heart, ooh (Tadow)
Full force and she got me like (Tadow)

I be like (Tadow)
Baby (Tadow)
Why you so fine? (Tadow, tadow)
Gotta make you mine (Tadow, tadow)
So hard to find (Tadow, tadow)

Baby like oh
How'd you do the thing?
The way that you do it and she ain't even show
Nothing
She be walking round so confident, so heaven-sent
I think she was meant to knock 'em dead like (Tadow, tadow)
Like (Tadow, tadow)
Girl you so fine (Tadow)
Ohh (Tadow, tadow)
Girl, you acting like oh

She was so sublime
Super fine
She was never lying
Strutting in her heels
Or her slides either way
Eyes on her every single day, week, year
Everyone wondering how she does it with no fear
All that confidence wasn't heaven-sent
Does it come within?
Does it come run out?
I don't know
She'll just have 'em runnin'
Out and in man they want to sin
Talking deadly sin
With Mrs. Lady, I don't understand
Why she hit 'em like (Tadow, tadow)

Yeah, like (Tadow, tadow)
Girl, you knock 'em dead (Tadow, tadow)
Ohh (Tadow)
How you do it like you do it (Tadow, tadow)
Yeah yeah (Tadow, tadow)
Baby, you knock 'em dead (Tadow, tadow)
I love you so baby (Tadow, tadow)
Yeah, yeah, ohh
Tadow
TadowEmbedShare Url:CopyEmbed:Copy",301893,https://images.genius.com/e06844c842bb821f5b6a33c21fae7db8.500x500x1.jpg,0.7040000000000001,0.487,9,-6.407,0,,0.669,8.640000000000001e-05,0.111,0.313,121.726,0.0604,3ycxRkcZ67ALN3GQJ57Vig
5,2L0Jo1O40ZeQ0CypqLBpts,The West,Kai Ca$h,[],https://open.spotify.com/track/2L0Jo1O40ZeQ0CypqLBpts,24,"Yeah, I'm on the Westside, nigga
Westside, get the money, but I'm Eastside nigga
Yeah, uh

I laid her down, now she out like a light switch
Put her legs in the air like a pilot
NY summertime where the vibes is
Thursdays, I show love out in Dyckman
Westside hear this knock, bet they like this
Show Cali some love, only right, uh
No, I can't fall in love, not my type, uh
Even play with the flu like I'm Mike, uh
Scoreboard on my bullshit like Jordan is
Up like a ornament, Cash in the audience
Money bags on the way like I ordered it
Bills green like Forrest is, tough like Chuck Norris is
New hundreds, they sick, bitch, they blue, uh (Blue)
Peel the top back, I rip off my roof, uh (Roof)
Niggas couldn't walk a inch in my suit, uh (Suit)
Got my cash in rotation, shit loop, uh

I took a deal just to beat that indictment
My New York Grapes let me sightsee on Dyckman
I got some scrapes from D.R., now they dykin'
Before we fuck, I tell 'em let me see they license
It's like just 'cause we fightin' cases
Had to take a deal just to see snowfall
I ain't really get too far past Texas, droppin' dope off
Flights to the Eastside gettin' money
Flights to the Westside, stay 100
Yeah, you can see this drip when I walk
Lil' bitch, this a boss when I talk
I mack down, spend a bag in Philippe
CYN took your girl, that's for keeps
Yeah, that's facts, take your girl when we wanna (What, what?)
If I pass to the gang, she a goner (Say what, what?)
If she come to the crib, she a goner (Huh, huh?)
Push to start, got no keys, that's a foreign (Uh-huh, uh-huh)
Since young, CYN been the same gang (What, what?)
Stay low and stack dough and just maintain (What, what?)
I get money and my gang do the same thing
Gold Rollie, white face, that shit Plain Jane (Uh-huh, uh-huh)
Count checks, I stack up like Eiffel (What, what?)
My wrist on ice, VVs dance like Michael (Say what, what?)
Might just go blind, my lady don't like you (Huh, huh?)
She not too nice, we get paid to fly to Paris, Dubai

I took a deal just to beat that indictment
My New York Grapes let me sightsee on Dyckman
I got some scrapes from D.R., now they dykin'
Before we fuck, I tell 'em let me see they license
It's like just 'cause we fightin' cases
Had to take a deal just to see snowfall
I ain't really get too far past Texas, droppin' dope off
Flights to the Eastside gettin' money
Flights to the Westside, stay 100EmbedShare Url:CopyEmbed:Copy",149014,https://images.genius.com/76bbd91841a48d1383484d2e2a54c36d.500x500x1.jpg,0.785,0.596,7,-5.593,1,,0.325,0.0,0.0803,0.485,90.966,0.227,52Y9y31PT8sgDxNNmUIDUG
6,7AzlLxHn24DxjgQX73F9fU,No Idea,Don Toliver,[],https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU,81,"I know, I know, I know that you're drunk (Yeah)
Tell me what you want after this club (Oh-oh)
You know I get nasty (Know I get nasty)
Uber ride to my house, called a taxi (Uber ride to my house, yeah)

I'm picky with my women, I'm decidin' (Oh)
Call me to your crib and I'ma slide in (Yeah)
I'm picky with my women, I'm decidin' (Oh)
Call me to your crib and I'ma slide in (Call me to your crib and I'ma)

First things first, let me get that introduction (Let me get that introduction)
We on a long road to self-destruction (Self-destruction)
You were so in love, you weren't gon' tell me nothin' (You were so in love)
Let me get this clear (Uh-huh), 'cause I had no idea (Yeah, yeah, yeah)

Feelin' like I did too much (Much)
I'm feelin' like I did too much (Much)
Well, let's get naughtier (Naughtier)
Yeah, I need all of ya (All of ya)
I'm feelin' like I did too much (Much)
I'm feeling like I did too much (Much)
Yeah, let's party, ya (Party, ya)
Yeah, I need all of ya (All of ya)
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh

First things first, let me get that introduction
We on a long road to self-destruction
You were so in love, you weren't gon' tell me nothin'
Let me get this clear, 'cause I had no idea

Feelin' like I did too much (Much)
I'm feelin' like I did too much (Much)
Well, let's get naughtier (Naughtier)
Yeah, I need all of ya (All of ya)
I'm feelin' like I did too much (Much)
I'm feeling like I did too much (Much)
Yeah, let's party, ya (Party, ya)
Yeah, I need all of ya (All of ya)
Since you've been gone, I've been just okay
I know you mad, you didn't see it my way
Since I've been gone, I've been out of space
I let lil' shawty, come here, take your place

Ooh, you got it (Got it)
You couldn't keep my love, you too exotic (Couldn't keep my love, yeah)
You want a paper plane, I don't mind it (You want a paper plane, yeah)
You wonder why your girl always smiling (Wonder why your girl, yeah)EmbedShare Url:CopyEmbed:Copy",154424,https://images.genius.com/2a4c4b48762d3237f65df17e3ab35a89.1000x1000x1.png,0.652,0.631,6,-5.718,0,,0.524,0.000579,0.165,0.35,127.998,0.0893,4Gso3d4CscCijv0lmajZWs
7,0Li1OuXXfi7950ilZUFGkF,Cardigan,Don Toliver,[],https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF,71,"I'm finna stand tall in it, I'm all in it (Uh-uh)
You be on my back like a cardigan (Cardigan)
Call her again, I'm in love with your friend (Call her again)
We be doing dirt, you hide the evidence (Evidence)
It's evident that you ready to ride (Ready to ride)
Hop up in my Jeep and put your pride to the side (Pride to the side)
Go against the gang, you must be ready to hide (Ready to hide)
Swangin' on the corner, bang my tape 'til it pop (Tape 'til it pop)
I thought I was a goner, pledged to your honor
Burn marijuana, these diamonds is on her
Hotter than the sauna, I met her at Salata
Bought lil' baby Prada, she popped it for the dollar

Don't stick around, you should save yourself (Save yourself)
But you can hit my phone if you need some help (Needed some help)
Don't stick around, you should save yourself (Save yourself)
But you can hit my phone if you need some help (Needed some help)

I'm finna stand tall in it, I'm all in it (Uh-uh)
You be on my back like a cardigan (Cardigan)
Call her again, I'm in love with your friend (Call her again)
We be doing dirt, you hide the evidence (Evidence)
It's evident that you ready to ride (Ready to ride)
Hop up in my Jeep and put your pride to the side (Pride to the side)
Go against the gang, you must be ready to hide (Ready to hide)
Swangin' on the corner, bang my tape 'til it pop (Tape 'til it pop)
I thought I was a goner, pledged to your honor
Burn marijuana, these diamonds is on her
Hotter than the sauna, I met her at Salata
Bought lil' baby Prada, she popped it for the dollar
Don't stick around, you should save yourself (Save yourself)
But you can hit my phone if you need some help (Needed some help)
Don't stick around, you should save yourself (Save yourself)
But you can hit my phone if you need some help (Needed some help)

I'm finna stand tall— (Tall)
I'm all— (All)
You be on my back like a cardigan (Cardigan)
We be doing dirt, you hide the evidence (Evidence)
All— (All)
I'm all— (All)
You be on my back like a cardigan
We be doing dirt, you hide the evidenceEmbedShare Url:CopyEmbed:Copy",158708,https://images.genius.com/14392da85554aa87c7c832ccc8f8e68d.1000x1000x1.jpg,0.747,0.4970000000000001,4,-6.542000000000002,0,,0.248,0.0,0.138,0.0663,142.046,0.0401,4Gso3d4CscCijv0lmajZWs
8,4QvJwV47HSt6eV3NNjS6rU,We Paid ,Lil Baby,[],https://open.spotify.com/track/4QvJwV47HSt6eV3NNjS6rU,43,"Can't be fucked with
Ayy, 4 Pockets, huh
(Section 8 just straight cooked this motherfucker up)

'Fore I go broke like Joc
Fuck with that dog like Vick (Roof)
Not that rock, that pit'
Palm Angels down to my sock
Can't hold my Glock, reason I don't really like that shit (Nigga, I don't)
Young turnt nigga, can't wife no bitch (At all)
Excuse my French, don't like no bitch (Nope)
Limo tinted, all five of my cars, yeah, I had it hard
Seen my bitch broke bad, I ain't had a heart
Skrrt, yeah, that's us
Two-tone AP, yeah, I'm bust
Got the head from her, I ain't even wanna fuck (Fuck her)
Why? Slut, bye (Fuck on)
Nothin' on me from Saks, everything Revive
Old nigga tellin' on bro, should've died
No, he ain't kill 'em, dawg, he ain't even try
Still'll bet my last shootin' dice in the hood
Take who chain? Nah bitch, not Dugg's
Probably in somethin' fast with a Glock in the hood
Courtside tickets, spillin' Wock' on the wood
First turnt nigga from the hood, they curious
Four in cars, 'bout five in jewelry
I get the commas with numbers, that's period
I got your BM wan' put on Amiris
First young nigga in the A with two Lams
Run up fourteen mil', started fourteen grams (Same day)
Dope boy Dickies and diamonds and Timbs
You shouldn't play with that boy, he is not one of them
Bro, I kept taking L's, finally got me a M
Still making double, I don't count what I spend
S550 2018
Gotta come twenty if you hoppin' in the Benz
Young turnt nigga from the D to the A
I'm rockin' with the Lions, yeah, I'm rocking with the Braves
Yeah, yeah, yeah, yeah, yeah, we paid
Yeah, yeah, yeah, yeah, yeah, we paid

I'ma turn it up a lil' more this time
Used to dream about gettin' it, now I got it, I don't drive
I had a spot like The Varsity, what'll you have?
You buy twenty, I'll front what you buy
I put on drip, I believe I can I fly
Niggas know that I'm rich, but they know not to try
I had a show in Detroit and I stopped at Revive
And spent fifty on all of the guys
All of these hoes in these stores make commission
And plus I'ma tip 'em, they holdin' my size
Get in your car and just put on your flashers
And follow the hearse since you say you gon' ride
'Cause somebody gon' die if they fuck with us
Turn a five to a dime, that's a double up
Fuck around, walk through church with my double cup
This shit a habit, I'm prayin' I give it up
Tiger stay with the wood, make 'em give it up
Know I ran through a mil' every week coppin' weed
Bruh beat the charge, I can get me some sleep
Got a backend to pick up, I won't even leave
Run it up, fuck around, give the 'Vette to DT
Keep a hotboy with me, I got love for BG
Chasin' this paper since twelve or thirteen
Runnin' 'round in these streets, it was me and Marquise
First turnt nigga from the hood, they curious
Four in cars, 'bout five in jewelry
I get the commas with numbers, that's period
I got your BM wan' put on Amiris
First young nigga in the A with two Lams
Run up fourteen mil', started fourteen grams (Same day)
Dope boy Dickies and diamonds and Timbs
You shouldn't play with that boy, he is not one of them
Bro, I kept taking L's, finally got me a M
Still making double, I don't count what I spend
S550 2018
Gotta come twenty if you hoppin' in the Benz
Young turnt nigga from the D to the A
I'm rockin' with the Lions, yeah, I'm rocking with the Braves
Yeah, yeah, yeah, yeah, yeah, we paid
Yeah, yeah, yeah, yeah, yeah, we paid
First turnt nigga from the hood, they curious
Four in cars, 'bout five in jewelry
I get the commas with numbers, that's period
I got your BM wan' put on Amiris
First young nigga in the A with two Lams
Run up fourteen mil', started fourteen grams (Same day)
Dope boy Dickies and diamonds and Timbs
You shouldn't play with that boy, he is not one of them
Bro, I kept taking L's, finally got me a M
Still making double, I don't count what I spend
S550 2018
Gotta come twenty if you hoppin' in the Benz
Young turnt nigga from the D to the A
I'm rockin' with the Lions, yeah, I'm rocking with the Braves
Yeah, yeah, yeah, yeah, yeah, we paid
Yeah, yeah, yeah, yeah, yeah, we paid (Yeah)EmbedShare Url:CopyEmbed:Copy",181929,https://images.genius.com/502bdee8eb7390199d52a7744f90d238.1000x1000x1.png,0.93,0.522,1,-5.35,0,,0.125,0.0,0.0844,0.605,135.116,0.341,5f7VJjfbwm532GiveGC0ZK
9,6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,Lil Baby,[],https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,78,"Yeah
Wheezy outta here

The dash, it's digi', the schedule busy
My head in a hoodie, my shorty a goodie
My cousins are crazy, my cousins like Boogie
Life is amazin', it is what it should be
Been here for ten but I feel like a rookie
I tell her, ""Look up"" 'cause it's snowin' in Tootsie's
Booked for three years, man, you can't even book me
It's me and Lil Baby, this shit goin' crazy
Wheezy produced it and Weezy F. made me
And she held it down, so she got a Mercedes
Young Money Records, the Army, the Navy
They ran me ten thousand, I threw it like Brady
The foreign is yellow like Tracee and K.D
I trusted my niggas, they never betrayed me
Met all these niggas, they sweeter than Sadie
When I started out, I just took what they gave me
Did all the favors, they never repaid me
It worked in my favor, 'cause nobody saved me

Brand new whip got no keys
Tailor my clothes, no starch, please
Soon as I nut, you can gon' leave
Got M's in the bank, like, ""Yes, indeed""
Cartier glasses, I won't even peek at you
Yellow Ferrari like Pikachu
I got 'em waitin' and watchin' what he gon' do
Tryna peep what I do, tryna steal my moves
25 hundred for a new pair of tennis shoes
The same price, I could make them youngins come and finish you
Lawyer been chargin', he a Jewish like he voodoo
Real dope boy, hundred thousand in Evisu
Presidential tints slide by, we don't see you
I been gettin' money, I ain't worried 'bout what he do
I'm gettin' money like I'm from the '80s
Me and Drake 'bout to drop, man, this shit gon' go crazy
They know I'm the truth, comin' straight from the basement
I'm straight as the street, man I come from the pavement
A million, all hundreds, it make 'em 'go crazy
Wah-wah-wah, bitch, I'm the baby

Brand new whip got no keys
Tailor my clothes, no starch, please
Soon as I nut, you can gon' leave
Got M's in the bank, like, ""Yes, indeed""
Me and my dawg goin' all the way
When you livin' like this, they supposed to hate
Brand new whip got no keys
Tailor my clothes, no starch, please
Soon as I nut, you can gon' leave
Got M's in the bank, like, ""Yes, indeed""
Me and my dawg goin' all the way
When you livin' like this, they supposed to hate
Wheezy outta hereEmbedShare Url:CopyEmbed:Copy",142273,https://images.genius.com/3d4ee32ef7a40bd60f0a6f9c4872688a.1000x1000x1.jpg,0.963,0.34600000000000003,5,-9.309,0,,0.0355,0.0,0.108,0.562,119.957,0.53,5f7VJjfbwm532GiveGC0ZK
